CountryCode,SeriesCode,Description
ARG,NY.GDP.PCAP.KD,"Based on data officially reported by the National Statistics and Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on June 3, 2015: http://www.imf.org/external/np/sec/pr/2015/pr15252.htm."
TZA,NY.GDP.PCAP.KD,Covers mainland Tanzania only.
CYP,NY.GDP.PCAP.KD,Data are for areas under the effective control of the Government of the Republic of Cyprus.
AUS,SP.POP.TOTL,Data sources : Australian Bureau of Statistics
BMU,SP.POP.TOTL,Data sources : Bermuda Government Department of Statistics
HKG,SP.POP.TOTL,Data sources : Census and Statistics Department
ISR,SP.POP.TOTL,Data sources : Central Bureau of Statistics
CUW,SP.POP.TOTL,Data sources : Central bureau of Statistics
HRV,SP.POP.TOTL,"Data sources : Croatian Bureau of Statistics, Council of Europe"
SGP,SP.POP.TOTL,Data sources : Department of Statistics Singapore
JOR,SP.POP.TOTL,"Data sources : Department of Statistics, Jordan; 1994 Census"
IRL,SP.POP.TOTL,Data sources : Eurostat
ISL,SP.POP.TOTL,Data sources : Eurostat
HUN,SP.POP.TOTL,Data sources : Eurostat
GRC,SP.POP.TOTL,Data sources : Eurostat
ITA,SP.POP.TOTL,Data sources : Eurostat
LTU,SP.POP.TOTL,Data sources : Eurostat
LUX,SP.POP.TOTL,Data sources : Eurostat
LVA,SP.POP.TOTL,Data sources : Eurostat
MLT,SP.POP.TOTL,Data sources : Eurostat
CHE,SP.POP.TOTL,Data sources : Eurostat
CZE,SP.POP.TOTL,Data sources : Eurostat
DEU,SP.POP.TOTL,Data sources : Eurostat
ESP,SP.POP.TOTL,Data sources : Eurostat
EST,SP.POP.TOTL,Data sources : Eurostat
DNK,SP.POP.TOTL,Data sources : Eurostat
FIN,SP.POP.TOTL,Data sources : Eurostat
GBR,SP.POP.TOTL,Data sources : Eurostat
BGR,SP.POP.TOTL,Data sources : Eurostat
AUT,SP.POP.TOTL,Data sources : Eurostat
BEL,SP.POP.TOTL,Data sources : Eurostat
ROM,SP.POP.TOTL,Data sources : Eurostat
SVK,SP.POP.TOTL,Data sources : Eurostat
SVN,SP.POP.TOTL,Data sources : Eurostat
SWE,SP.POP.TOTL,Data sources : Eurostat
NLD,SP.POP.TOTL,Data sources : Eurostat
NOR,SP.POP.TOTL,Data sources : Eurostat
POL,SP.POP.TOTL,Data sources : Eurostat
PRT,SP.POP.TOTL,Data sources : Eurostat
AZE,SP.POP.TOTL,"Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
FRA,SP.POP.TOTL,"Data sources : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion."
MNE,SP.POP.TOTL,"Data sources : For years after 2000, Statistical Office of Montenegro. For years 1960-1999, growth rates of United Nations World Population Prospects were used to estimate backwards."
VNM,SP.POP.TOTL,Data sources : General Statistics Office of Vietnam
GEO,SP.POP.TOTL,Data sources : GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia.
NCL,SP.POP.TOTL,Data sources : Institute of Statistics and Economic Studies
ALB,SP.POP.TOTL,"Data sources : Institute of Statistics, Eurostat"
KOR,SP.POP.TOTL,Data sources : Korean Statistical Information Service
KSV,SP.POP.TOTL,"Data sources : Kosovo Agency of Statistics, U.S. Census Bureau"
JPN,SP.POP.TOTL,"Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
UZB,SP.POP.TOTL,"Data sources : Ministry of Statistics, United Nations World Population Prospects"
SYC,SP.POP.TOTL,Data sources : National Bureau of Statistics
CHN,SP.POP.TOTL,Data sources : National Bureau of Statistics
TUN,SP.POP.TOTL,"Data sources : National Bureau of Statistics, 1994 Census"
MDA,SP.POP.TOTL,"Data sources : National Bureau of Statistics. Excluding Transnistria. For 1950-94, World Bank estimates using UN World Population Prospects 2010 Revision's growth rates of whole Moldova."
BLR,SP.POP.TOTL,Data sources : National Statistical Committee of the Republic of Belarus
KGZ,SP.POP.TOTL,"Data sources : National Statistical Committee, United Nations World Population Prospects"
TMP,SP.POP.TOTL,"Data sources : National Statistics Directorate, United Nations World Population Prospects"
LKA,SP.POP.TOTL,"Data sources : Registrar General's Department, Department of Census and Statistics"
RUS,SP.POP.TOTL,"Data sources : Russian Federation Federal State Statistics Service (its January 1st populations were adjusted to mid-year populations by using geometric mean), 1979 Census, 1989 Census."
UKR,SP.POP.TOTL,"Data sources : State Statistics Committee of Ukraine, United Nations World Population Prospects, Council of Europe, United Nations Population and Vital Statistics Report"
KAZ,SP.POP.TOTL,"Data sources : Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
JAM,SP.POP.TOTL,Data sources : Statistical Institute of Jamaica
SRB,SP.POP.TOTL,"Data sources : Statistical Office of the Republic of Serbia, Eurostat, TransMONEE, Council of Europe. Note : Excluding Kosovo."
CAN,SP.POP.TOTL,Data sources : Statistics Canada
MUS,SP.POP.TOTL,"Data sources : Statistics Mauritius, United Nations World Population Prospects"
NZL,SP.POP.TOTL,Data sources : Statistics New Zealand
ZAF,SP.POP.TOTL,"Data sources : Statistics South Africa, 1996 Census"
USA,SP.POP.TOTL,Data sources : U.S. Census Bureau
SEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
VCT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
VEN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
URY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TZA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
UGA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TON,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TTO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TUR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TUV,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TCD,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TGO,SP.POP.TOTL,Data sources : United Nations World Population Prospects
THA,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TJK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
TKM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ZAR,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ZMB,SP.POP.TOTL,Data sources : United Nations World Population Prospects
ZWE,SP.POP.TOTL,Data sources : United Nations World Population Prospects
VUT,SP.POP.TOTL,Data sources : United Nations World Population Prospects
WSM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
YEM,SP.POP.TOTL,Data sources : United Nations World Population Prospects
OMN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PAK,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PAN,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PER,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PHL,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PLW,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PNG,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PRY,SP.POP.TOTL,Data sources : United Nations World Population Prospects
PYF,SP.POP.TOTL,Data sources : United Nations World Population Prospects
